abbrev,name
AOCA,American Osteopathic College of Anesthesiologists
AOCD,American Osteopathic College of Dermatology
AOCD,American Osteopathic College of
AOCP,American Osteopathic College of Pathologists
AOCR,American Osteopathic College of Radiology
AOGC,Australian Oil and Gas College
AOIC,Australia Onsung International College
AOIC,Alpha Omega International College
APCOMS,Army Public College of Management & Sciences
APCOMS,Army Public College of Management Sciences
APCOMS,Army Public College of Management and Sciences
APCU,Association of Presbyterian Colleges and Universities
APMC,Aurora Pioneers Memorial College
APPC,Asia Pacific Postal College
APRJC,Andhra Pradesh Residential Junior College
APRJC,Andhra Pradesh Residential Junior Colleges
APS,Army public school
APSAC,Army Public Schools and Colleges
APSAC,Army Public School And College
APSACS,Army Public Schools And Colleges Systems
APSACS,Army Public School and College System
APSACS,Army Public Schools and College System
APTC,Atlantic Petroleum Training College
APUC,Advanced Procurement for Universities and Colleges
ARC,American River College
ARCC,Anoka Ramsey Community College
ARCC,Accountability Reporting for the Community Colleges
ARCM,Associate of the Royal College of Music
ARCS,Achievement Reward for College Scientists
ARCS,Associate of the Royal College of Science
ARHC,A Roland Holst College
ARTT,Ahmed Raza Tariq Tunyo
ASACC,Associated Students of Aims Community College
ASACC,American Student Association of Community Colleges
ASCB,Andres Soriano Colleges of Bislig
ASCC,Alabama Southern Community College
ASCC,American Samoa Community College
ASCC,Associated Students of Clark College
ASCE,Associated Students of the College of Education
ASCI,Aadministrative Staff College Of India
ASCI,Administrative Staff College Of India
ASCL,Association of School and College Leaders
ASCL,Academic Support for College and Life
ASCO,Association of Schools and Colleges of Optometry
ASCON,Administrative Staff College of Nigeria
ASCR,Admissions School College Relations
ASCW,Anglo Sanskrit College for Women
ASCY,Ancient Society of College Youths
ASEC,Agriculture and Science Early College
ASFC,Ashton Sixth Form College
ASGC,Associated Students of Gavilan College
ASGC,Associated Students of Grossmont College
ASIC,Accreditation Service for International Colleges
ASLC,Associated Students of Laney College
ASLC,Associated Students of Linfield College
ASMC,Associated Students of Merced College
ASMC,Associated Students of Merritt College Associated Students of Merritt
ASMPC,Associated Students of Monterey Peninsula College
ASNC,Associated Students of Norco College
ASNIC,Associated Students of North Idaho College
ASPC,Associated Students of Pomona College
ASPC,Associated Students of Porterville College
ASPCC,Associated Students of Portland Community College
ASPCC,Associated Students of Pasadena City College
ASSC,Associated Students Of Sierra College
ASSC,Associated Students of Skyline College
ASVC,Associated Students of Ventura College
ASWC,Associated Students of Whittier College
ASYC,Associated Students of Yuba College
ATC,"Albany Technical College, Albany, Georgia"
ATC,Aiken Technical College
ATC,Advanced Technology College
ATC,Atlantic Technical College
ATC,Atlanta Technical College
ATCE,Annai Teresa College Of Engineering
ATCL,Associate of Trinity College London
AUC,Atlanta Universities and Colleges
AUC,Amsterdam University College
AUCC,African University College of Communications
AUCSA,Amsterdam University College Student Association
AVC,Atlantic Veterinary College
AVC,Antelope Valley College
AVC,Antelope Valley College's
AVC,Armenian Virtual College
AVCE,Annai Vailankanni college of engineering
AVCE,Annai Vailankanni college of
AVIC,Association of Vermont Independent Colleges
AWC,Allegheny Wesleyan College
AWC,Air War College
AWC,Arizona Western College
AWC,Abingdon and Witney College
AWCC,Atlantic Women's Colleges Conference
AWCE,Alan Walker College of Evangelism
AWCHA,American Women's College Hockey Alliance
BAC,Belmont Abbey College
BACAI,Bac-Ai Hoc-Vien
BACCC,Bay Area Community College Consortium
BACL,British American College London
BACN,Bay Area College of Nursing
BAEC,Bromley Adult Education College
BARCS,Brain and Alcohol Research with College Students
BASICS,Brief Alcohol Screening And Intervention For College Students
BASICS,Building Academic Skills Into College Success
BASICS,Brief Alcohol Screening Intervention for College Students
BATC,Bridgerland Applied Technology College
BAYC,Bihar Acupressure Yoga College
BBC,Baptist Bible College
BBCC,Big Bend Community College
BBCC,Baptist Bible College Canada
BBCD,Billy Blue College of Design
BBEC,Bineswar Brahma Engineering College
BBEC,Buttershaw Business and Enterprise College
BBEC,Burnside Business and Enterprise College
BC,Backup College
BC,Barber College
BC,Betrayal College
BC,Boston College
BC,Beacon College
BC,Barnard College
BCA,Brethren Colleges Abroad
BCAE,Broward College Academy for Excellence
BCAS,British College of Applied Studies
BCAS,Bhaskaracharya College of Applied Sciences
BCAS,Buchtel College of Arts and Sciences
BCAT,Business College Admission Test
BCBC,Balliol College Boat Club
BCBC,Butler College Boat Club
BCC,Beer Can College
BCC,Broome Community College
BCC,Bronx Community College
BCC,Burlington County College
BCC,Bergen Community College
BCC,Bristol Community College
BCC,Berkeley City College
BCC,Berkshire Community College
BCC,Berkeley City College's
BCC,Bellevue Community College
BCC,Brunswick Community College
BCCC,Baltimore City Community College
BCCC,Bucks County Community College
BCCC,Beaufort County Community College
BCCC,Barton County Community College
BCCCF,Baltimore City Community College Foundation
BCCG,Beaconhouse College Campus Gulberg
BCCN,Bacolod Christian College of Negros
BCCT,British Columbia College Of Teachers
BCDE,Black College Dance Exchange
BCDE,Boston College Dance Ensemble
BCEA,Butte College Education Association
BCEB,Basaveshwar College of Education Bidar
BCEC,Buncombe County Early College
BCET,Bengal College of Engineering & Technology
BCF,Baptist College of Florida
BCF,Black College Football
BCF,Babson College Fund
BCHS,Baptist College of Health Sciences
BCIAB,Bible College In A Box
BCIM,British College of Integrative Medicine
BCIT,Barnard College Information Technology
BCLS,Boston College Law School
BCM,Baylor College of Medicine
BCM,Baptist College Ministries
BCM,Boston College Magazine
BCMAR,Baylor College of Medicine Academy at Ryan
BCMB,Boston College Marching Band
BCMC,Bethel College Mennonite Church
BCMC,Buncombe County Middle College
BCMCH,Believers Church Medical College Hospital
BCMT,Bentley College for Management Technology
BCMT,Boulder College of Massage Therapy
BCMU,Bandaranayake College Media Unit
BCNZ,Bible College Of New Zealand
BCOC,Bhaktivedanta College Online Campus
BCOC,Bickenhall College of Computing
BCOD,Baylor College of Dentistry
BCOE,Bagley College of Engineering
BCOE,Bourns College of Engineering
BCOE,Bagwell College of Education
BCOE,Beeghly College of Education
BCOM,British College of Osteopathic Medicine
BCOM,Burrell College of Osteopathic Medicine
BCOM,Bethany College of Missions
BCOP,Bapatla College Of Pharmacy
BCOT,Basingstoke College of Technology
BCP,Brooklyn College of Pharmacy
BCP,Bellarmine College Preparatory
BCPP,Boston College Payment Plan
BCPS,Bangladesh College of Physicians and Surgeons
BCR,Black College Reunion
BCRFC,Boston College Rugby Football Club
BCS,Bryan College Station
BCSA,Bible College of South Australia
BCSFF,Beijing College Student Film Festival
BCSN,Black College Sports Network
BCSU,Blackburn College Students' Union
BCTC,Bluegrass Community and Technical College
BCUC,Buckinghamshire Chilterns University College
BCVS,Berry College Volunteer Services
BCW,Bible College of Wales
BDSC,Botany Downs Secondary College
BEBC,Beyond Expectations Barber College
BESC,Bhawanipur Education Society College
BFSC,British Fire Service College
BGNR,Bhaktha Gentela Narayana Rao
BGPC,Bhai Gurdas Polytechnic College
BGSC,Botanic Garden of Smith College
BHBC,Baptist Heritage Bible College
BHC,Black Hawk College
BHC,Burnett Honors College
BHCC,Bunker Hill Community College
BHCC,Barrett Honors College Council
BHCC,Brighton Hill Community College
BHMC,Bataan Heroes Memorial College
BHSEC,Bard High School Early College
BIC,Baltimore International College
BICB,Banking Institute College of Banking
BICC,Beijing International Chinese College
BICC,British International College of Cairo
BICS,Board of Irish College Societies
BITC,Beijing Information Technology College
BJC,Baltimore Junior College (now Baltimore City Community College)
BJMC,B J Medical college
BJMC,B. J. Medical College
BKMC,Bacha Khan Medical College
BLC,Bethany Lutheran College
BLCI,Barrio Logan College Institute
BLCS,Biblical Life College Seminary
BLCS,Biblical Life College and Seminary
BMC,Bryn Mawr College
BMC,Blue Mountain College
BMC,Bangalore Medical College
BMCC,Bay Mills Community College
BMCC,Brooklyn Manhattan Community College
BMCC,Borough of Manhattan Community College
BMHM,Bangladesh Mash Harul houq Memorial
BMIC,Business and Management International College
BMMC,Bethany Medical Missionary College
BNCA,Bhanuben Nanavati College of Architecture
BOAC,Building Our American Colleges
BOAC,Buying Our American Colleges
BOSCA,BUSINESS of Small College Athletics
BPC,Brewton Parker College
BPCC,Bossier Parish Community College
BPCC,Bossier Parish Community College's
BPLE,Business Practical Learning Enterprises
BPSC,Burscough Priory Science College
BRC,Balochistan Residential College
BRCC,Baton Rouge Community College
BRCC,Blue Ridge Community College
BRCC,Baton Rouge college of champions
BRCC,Baton Rouge Coummunity College
BRDMC,Baba Raghav Das Medical College
BRDN,Brandon Campus of Hillsborough Community College
BRNC,Britannia Royal Naval College
BRNC,Britannia Royal Navy College
BRTC,Black River Technical College
BSC,Birmingham-Southern College
BSC,Barber Scotia College
BSC,Bismarck State College
BSC,Birmingham Southern College
BSC,Bluefield State College
BSCC,Business Science Community College
BSCC,Bevill State Community College
BSCC,Bishop State Community College
BSCTC,Big Sandy Community and Technical College
BSDC,Burton and South Derbyshire College
BSFC,Birkenhead Sixth Form College
BSNMPC,Bir Shreshtha Noor Mohammad Public College
BSSC,Bendigo Senior Secondary College
BSTC,Buddhist Sin Tak College
BSUC,Bath Spa University College
BSUC,Bijoy Smarani University College
BTAC,Bishop Tyrrell Anglican College
BTC,Bates Technical College
BTC,Belmont Technical College
BTC,Bellingham Technical College
BTC,Blackhawk Technical College
BTCN,Back to College Night
BTEC,Bendigo Technical Education College
BTEC,Bharath Technical Engineering College
BTEC,Begumgonj Textile Engineering College
BTTC,British Teacher Training College
BTTC,Basic Teachers' Training College
BTTC,Bombay Teacher's Training College
BTTC,Bombay Teachers' Training College
BUCD,Boston University College Democrats
BUCS,British Universities Colleges Sport
BUCS,British University and Colleges Sport
BUCS,British Universities and Colleges Sports
BUCS,British University and College Sport
BUCS,British Universities and Colleges Sport
BUIC,Bangkok University International College
BVC,Bow Valley College
BWFLC,Buddhist Wong Fung Ling College
BWTC,Berhane Wongel Theological College
BYC,Brigham Young College
CA,College of Art
CAA,College Art Association
CAAD,College of Architecture Art and Design
CAAH,College of Architecture Arts and Humanities
CAAM,College Alliance for Advanced Manufacturing
CAAP,Collegiate Assessment for Academic Proficiency
CAAP,College Achievement Admissions Program
CAAP,College Arts Access Program
CAAT,College of Applied Arts and Technology
CABC,Central Africa Baptist College
CABQ,College Activities and Behaviors Questionnaire
CAC,College And Career
CAC,Central Arizona College
CAC,College Academic Counseling
CACC,College Avenue Congregational Church
CACC,Central Alabama Community College
CACC,Central Alabama Community College's
CACE,Consortium for the Assessment of College Equivalence
CACP,College of Architecture Construction and Planning
CACR,College Access and Career Readiness
CACS,California Association of College Stores
CAD,College Avenue Deck
CADC,College of Architecture Design and Construction
CADI,College Association at Delhi Inc
CAE,College of Aeronautical Engineering
CAET,"College of Agricultural Engineering & Technology,"
CAFRE,"College of Agriculture, Food and Rural Enterprise"
CAFRE,College of Agriculture Food and Rural Enterprise
CAHS,College of Allied Health Sciences
CAHS,College of Agriculture and Human Sciences
CAHSS,College of Arts Humanities and Social Sciences
CAHSS,College of the Arts Humanities and Social Sciences
CAIR,"Center for AIDS Intervention Research, Medical College of Wisconsin"
CAL,College of Arts and Letters
CALA,College of Architecture and Landscape Architecture
CALS,College Of Agriculture And Life Sciences
CALS,College Of Agricultural And Life Sciences
CAMCO,Cancer Advocacy Movement for Colleges and Outreach
CAMD,College of Arts Media and Design
CAMD,College of Art Media Design
CAMP,College Assistance Migrant Program
CANDI,City AND Islington College
CANIC,Canterbury International College
CAP,College Access Program
CAP,College of American Patholgists
CAPIC,College of Architecture and Planning Indianapolis Center
CAPPA,College of Architecture Planning and Public Affairs
CARA,College Access Research and Action
CARE,"Campus Assessment, Response, and Evaluation"
CARE,Campus Assessment Response and Evaluation
CARS,College Automotive Restoration Students
CAS,College of Arts and Science
CAS,College of Arts and Sciences
CASAA,Colleges of Arts Sciences Alumni Association
CASAP,College of Arts and Sciences of Asia and the Pacific
CASAS,College of Applied Studies and Academic Success
CASC,Carl Albert State College
CASL,College of Arts Sciences and Letters
CASM,College of Arts Sciences Microscopy
CASNR,College of Agricultural Sciences and Natural Resources
CASO,College Adventist Student Organization
CASP,College Academic Support Programs
CASS,College of Arts and Social Sciences
CAST,College of Agricultural Sciences and Technology
CAST,College of Applied Science and Technology
CAST,"College of Arts, Science and Technology"
CATC,College Affordability and Transparency Center
CATC,College Access Tax Credit
CATS,College Age Tigs Staff
CATS,College Applicant Tracking System
CAUC,Christ Apostolic University College
CAUP,College of Architecture and Urban Planning
CAUS,College of Architecture and Urban Studies
CAUS,College of Architecture Urban Studies
CAUT,College and University Technicians
CAVC,Cardiff And Vale College
CAW,College of Animl Welfare
CAW,College Application Week
CB,College Bound
CBA,College of Business Administration
CBA,College Bound Athlete
CBA,College Basketball Association
CBA,College of Business Administration's
CBAA,College Book Art Association
CBAPA,College of Business Accountancy and Public Administration
CBAS,College of Basic and Applied Sciences
CBASC,College Board Annual Survey of Colleges
CBBC,Cambodia Baptist Bible College
CBBC,Cape Breton Business College
CBBS,College of Business and Behavioral Science
CBC,Central Bible College
CBC,Christian Brothers College
CBC,Community Business College
CBC,Central Baptist College
CBC,Columbia Basin College
CBCC,College Baseball Coaches Camps
CBCC,College Baseball Coaches Camp
CBCP,Chicago Bulls College Prep
CBCS,Christian Bible College and Seminary
CBCS,College of Behavioral Community Sciences
CBCS,College of Behavioral and Community Sciences
CBDNA,College Band Directors National Association
CBE,College Basketball Experience
CBE,College of Business and Economics
CBEA,College of Business Economics and Accountancy
CBEA,College of Business Entrepreneurship and Accountancy
CBEC,Cranbourne Business and Enterprise College
CBEC,Casterton Business and Enterprise College
CBFS,College of Banking and Financial Studies
CBGA,College of Business and Global Affairs
CBHS,College of Behavioral and Health Sciences
CBI,College Basketball Invitational
CBI,College Broadcasters Inc
CBIS,College of Business and Information Science
CBJB,College Bilingue Jacques De Bernon
CBJB,College Bound Junior Bowlers
CBJC,College Business Journalism Consortium
CBM,Collège Basile Moreau
CBMCB,Community Based Medical College Bangladesh
CBMI,College Business Management Institute
CBOB,College Battle of the Bands
CBOM,College of Behavior in Operations Management
CBPA,College of Business and Public Administration
CBPA,College of Business and Public Affairs
CBPA,College of Business Public Administration
CBPM,College of Business and Public Management
CBPS,College Business Partnership Scheme
CBPS,College of Biological and Physical Sciences
CBRG,College Benefits Research Group
CBS,College of Biological Sciences
CBSB,College Baseball Scouting Bureau
CBSC,Carshalton Boys Sports College
CBSP,College Ball Sustainability Project
CBSS,College Bound Selection Service
CBUI,College Branded User Interface
CC,College Confidential
CC,Colorado College
CC,College Council
CC,Civilian Colleges
CCA,Community College of Aurora
CCA,California College of the Arts
CCA,Community College Association
CCA,Career College Association
CCA,California College of Ayurveda
CCAA,Canadian Colleges Athletic Association
CCAA,Centennial College Alumni Association
CCAC,Community College of Allegheny County
CCAC,California College of Arts and Crafts
CCAC,Community College of Allegheny College
CCAD,Cleveland College of Art and Design
